Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-31 00:00:00-04:00,108.60378051156674,108.81149032386156,107.19311936758588,108.11048126220703,11589100,0.0,0.0
2019-11-01 00:00:00-04:00,109.218237784153,110.76737209757218,109.06245873021237,110.60294342041016,11682600,0.0,0.0
2019-11-04 00:00:00-05:00,111.7107115861943,112.00495726564644,111.26068023756987,111.48570251464844,9159900,0.0,0.0
2019-11-05 00:00:00-05:00,111.97898320692684,112.76653468137054,111.50298983195916,111.72801208496094,13747600,0.0,0.0
2019-11-06 00:00:00-05:00,111.37319021315422,112.36843837965756,111.27799152896874,111.90110778808594,11231100,0.0,0.0
2019-11-07 00:00:00-05:00,112.87902883168024,113.62330575525904,112.43766037447092,112.50689697265625,13528900,0.0,0.0
2019-11-08 00:00:00-05:00,112.40306601087323,112.85308416017516,111.85783596954515,112.83578491210938,9293400,0.0,0.0
2019-11-11 00:00:00-05:00,112.16071941985841,112.59343822440181,111.94436001758672,112.43765258789062,8679000,0.0,0.0
2019-11-12 00:00:00-05:00,112.18668686694842,113.04346168945628,111.65010654384481,111.7799301147461,9099000,0.0,0.0
2019-11-13 00:00:00-05:00,110.8885414829054,111.48569563440302,110.27407487911644,111.19143676757812,8023300,0.0,0.0
2019-11-14 00:00:00-05:00,110.53370629841773,111.50299231592206,110.42119516941041,111.29529571533203,8483400,0.0,0.0
2019-11-15 00:00:00-05:00,111.8405170950693,112.10015106201172,111.12220217559253,112.10015106201172,10163600,0.0,0.0
2019-11-18 00:00:00-05:00,112.12609527235068,113.06941910325432,111.6328026987386,113.04345703125,8749300,0.0,0.0
2019-11-19 00:00:00-05:00,113.36368270403618,113.5886917393956,112.6626671137988,113.00885009765625,8824500,0.0,0.0
2019-11-20 00:00:00-05:00,112.76652527938977,113.04345845276158,111.58952958011663,112.18668365478516,11782800,0.0,0.0
2019-11-21 00:00:00-05:00,112.50691419423302,113.1300304677514,111.9789966071003,112.44632720947266,7705500,0.0,0.0
2019-11-22 00:00:00-05:00,112.6367254943541,113.56275028810732,112.59346416835535,113.19060516357422,8167900,0.0,0.0
